predicted=13500132.974; sterr=71.535; interval=(262916.336, 321647815.473)
predicted=13479983.650; sterr=71.537; interval=(262406.759, 321260519.040)
predicted=13460757.853; sterr=71.539; interval=(261921.171, 320890532.316)
predicted=13442412.137; sterr=71.541; interval=(261458.387, 320537079.547)
predicted=13424905.194; sterr=71.543; interval=(261017.286, 320199419.876)
predicted=13408197.748; sterr=71.545; interval=(260596.806, 319876845.766)
predicted=13392252.438; sterr=71.546; interval=(260195.941, 319568681.498)
predicted=13377033.726; sterr=71.547; interval=(259813.739, 319274281.736)
predicted=13362507.796; sterr=71.549; interval=(259449.296, 318993030.155)
predicted=13348642.469; sterr=71.550; interval=(259101.754, 318724338.131)
predicted=13335407.114; sterr=71.551; interval=(258770.302, 318467643.490)
predicted=13322772.575; sterr=71.552; interval=(258454.169, 318222409.315)
predicted=13310711.088; sterr=71.553; interval=(258152.622, 317988122.806)
predicted=13299196.216; sterr=71.553; interval=(257864.967, 317764294.191)
predicted=13288202.782; sterr=71.554; interval=(257590.544, 317550455.686)
predicted=13277706.801; sterr=71.555; interval=(257328.726, 317346160.504)
predicted=13267685.426; sterr=71.555; interval=(257078.919, 317150981.908)
predicted=13258116.887; sterr=71.556; interval=(256840.555, 316964512.305)
predicted=13248980.440; sterr=71.556; interval=(256613.097, 316786362.384)
predicted=13240256.316; sterr=71.557; interval=(256396.034, 316616160.293)
predicted=13231925.672; sterr=71.557; interval=(256188.879, 316453550.851)
predicted=13223970.548; sterr=71.558; interval=(255991.169, 316298194.794)
predicted=13216373.821; sterr=71.558; interval=(255802.465, 316149768.066)
predicted=13209119.166; sterr=71.558; interval=(255622.348, 316007961.125)
predicted=13202191.018; sterr=71.559; interval=(255450.418, 315872478.297)
predicted=13195574.533; sterr=71.559; interval=(255286.298, 315743037.148)
predicted=13189255.555; sterr=71.559; interval=(255129.624, 315619367.890)
predicted=13183220.585; sterr=71.559; interval=(254980.055, 315501212.811)
predicted=13177456.744; sterr=71.560; interval=(254837.261, 315388325.734)
predicted=13171951.748; sterr=71.560; interval=(254700.932, 315280471.497)
predicted=13166693.880; sterr=71.560; interval=(254570.769, 315177425.460)
predicted=13161671.959; sterr=71.560; interval=(254446.491, 315078973.030)
predicted=13156875.319; sterr=71.560; interval=(254327.826, 314984909.212)
predicted=13152293.784; sterr=71.560; interval=(254214.519, 314895038.177)
predicted=13147917.641; sterr=71.560; interval=(254106.324, 314809172.850)
predicted=13143737.623; sterr=71.561; interval=(254003.007, 314727134.521)
predicted=13139744.886; sterr=71.561; interval=(253904.347, 314648752.464)
predicted=13135930.989; sterr=71.561; interval=(253810.130, 314573863.584)
predicted=13132287.878; sterr=71.561; interval=(253720.155, 314502312.073)
predicted=13128807.862; sterr=71.561; interval=(253634.228, 314433949.084)
predicted=13125483.603; sterr=71.561; interval=(253552.166, 314368632.417)
predicted=13122308.096; sterr=71.561; interval=(253473.793, 314306226.225)
predicted=13119274.651; sterr=71.561; interval=(253398.942, 314246600.725)
predicted=13116376.886; sterr=71.561; interval=(253327.453, 314189631.932)
predicted=13113608.706; sterr=71.561; interval=(253259.174, 314135201.394)
predicted=13110964.291; sterr=71.561; interval=(253193.960, 314083195.948)
predicted=13108438.087; sterr=71.561; interval=(253131.672, 314033507.482)
predicted=13106024.789; sterr=71.561; interval=(253072.177, 313986032.708)
predicted=13103719.333; sterr=71.561; interval=(253015.350, 313940672.950)
predicted=13101516.884; sterr=71.561; interval=(252961.070, 313897333.932)
predicted=13099412.823; sterr=71.561; interval=(252909.223, 313855925.588)
predicted=13097402.742; sterr=71.561; interval=(252859.698, 313816361.867)
predicted=13095482.431; sterr=71.561; interval=(252812.391, 313778560.559)
predicted=13093647.868; sterr=71.561; interval=(252767.203, 313742443.120)
predicted=13091895.215; sterr=71.561; interval=(252724.037, 313707934.509)
predicted=13090220.805; sterr=71.561; interval=(252682.803, 313674963.035)
predicted=13088621.135; sterr=71.561; interval=(252643.414, 313643460.199)
predicted=13087092.863; sterr=71.561; interval=(252605.787, 313613360.562)
