time;download
2019-10-25 03:00:00;529.55535
2019-10-25 09:00:00;192.9469333333333
2019-10-25 15:00:00;406.05946666666665
2019-10-25 21:00:00;596.7075833333333
2019-10-26 03:00:00;634.3118499999999
2019-10-26 09:00:00;608.14265
2019-10-26 15:00:00;577.0827999999999
2019-10-26 21:00:00;616.4617999999999
2019-10-27 03:00:00;716.0993166666666
2019-10-27 09:00:00;677.8444333333333
2019-10-27 15:00:00;605.9955666666666
2019-10-27 21:00:00;643.1765333333334
2019-10-28 03:00:00;695.4934833333333
2019-10-28 09:00:00;555.5288999999999
2019-10-28 15:00:00;576.3318
2019-10-28 21:00:00;570.2982000000001
2019-10-29 03:00:00;437.3187666666666
2019-10-29 09:00:00;76.00103333333334
2019-10-29 15:00:00;348.2595833333333
2019-10-29 21:00:00;594.3688833333333
2019-10-30 03:00:00;515.3840333333334
2019-10-30 09:00:00;207.9174833333333
2019-10-30 15:00:00;422.1247333333333
2019-10-30 21:00:00;620.9032000000001
2019-10-31 03:00:00;535.33665
2019-10-31 09:00:00;214.9206833333333
2019-10-31 15:00:00;394.51305
2019-10-31 21:00:00;589.9823499999999
2019-11-01 03:00:00;511.89501666666666
2019-11-01 09:00:00;211.03236666666666
2019-11-01 15:00:00;401.4020833333334
2019-11-01 21:00:00;524.0411166666667
2019-11-02 03:00:00;651.1426333333334
2019-11-02 09:00:00;630.7345666666666
2019-11-02 15:00:00;626.7770833333334
2019-11-02 21:00:00;625.4197166666667
2019-11-03 03:00:00;691.3826333333335
2019-11-03 09:00:00;662.7198333333333
2019-11-03 15:00:00;595.7542833333333
2019-11-03 21:00:00;596.9306833333334
2019-11-04 03:00:00;521.4337666666667
2019-11-04 09:00:00;199.16736666666668
2019-11-04 15:00:00;358.7598666666667
2019-11-04 21:00:00;489.64373333333333
2019-11-05 03:00:00;390.9020666666666
2019-11-05 09:00:00;103.73473333333334
2019-11-05 15:00:00;353.45445
2019-11-05 21:00:00;592.7058333333333
2019-11-06 03:00:00;517.4627666666667
2019-11-06 09:00:00;256.1617833333333
2019-11-06 15:00:00;469.80835
2019-11-06 21:00:00;649.0504333333334
2019-11-07 03:00:00;585.4526166666666
2019-11-07 09:00:00;182.34126666666666
2019-11-07 15:00:00;398.6839
2019-11-07 21:00:00;607.5812333333333
2019-11-08 03:00:00;546.13125
2019-11-08 09:00:00;198.8282
2019-11-08 15:00:00;421.68553333333335
2019-11-08 21:00:00;588.4197333333333
2019-11-09 03:00:00;652.2202833333333
2019-11-09 09:00:00;563.2231833333334
2019-11-09 15:00:00;595.76945
2019-11-09 21:00:00;606.8408333333333
2019-11-10 03:00:00;719.0602666666665
2019-11-10 09:00:00;657.3272166666666
2019-11-10 15:00:00;551.6824833333334
2019-11-10 21:00:00;597.3968166666667
2019-11-11 03:00:00;520.9127833333333
2019-11-11 09:00:00;191.35638333333335
2019-11-11 15:00:00;357.6991666666667
